Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
239M_1 - illumina_universal_adapter	(1, 0.13536028784019596)	(2, 0.13793076528607856)	(3, 0.16329977748766974)	(4, 0.16451333143117386)	(5, 0.17504405677171841)	(6, 0.18640910044842204)	(7, 0.19197368926253852)	(8, 0.19485218001877697)	(9, 0.19659481388277222)	(10, 0.20160220384356026)	(15, 0.20896159454180435)	(20, 0.21734251647115052)	(25, 0.2305012520741066)	(30, 0.24605842165229602)	(35, 0.259772876164747)	(40, 0.2739383435604698)	(45, 0.28992617679421984)	(50, 0.30875901705497444)	(55, 0.33093431046378285)	(60, 0.3575631248536763)	(65, 0.39002920770901633)	(70, 0.4308797273603071)	(75, 0.48249665340763404)	(80, 0.5494827961662906)	(85, 0.6371637335212764)	(90, 0.7546795985885443)	(95, 0.9128730148715579)	(100, 1.1279286481339281)	(105, 1.4201319035090312)	(110, 1.8146520007809293)	(115, 2.3428491347753493)	(120, 3.04140593332237)	(125, 3.940245010806411)	(130, 5.073704394039264)	(135, 6.468826171726337)	(140, 7.424403705886655)
239M_1 - polya	(1, 0.006311035485159026)	(2, 0.008434754886291244)	(3, 0.010495576674497943)	(4, 0.013267696467700582)	(5, 0.016289556782813366)	(6, 0.019358590307620292)	(7, 0.022939129419895038)	(8, 0.02601833755855756)	(9, 0.029026323400230897)	(10, 0.03688852501592073)	(15, 0.04998861784447273)	(20, 0.06257184028916031)	(25, 0.07475307299006215)	(30, 0.08671767891232934)	(35, 0.09899769786412009)	(40, 0.11106867474942309)	(45, 0.1233268645296691)	(50, 0.1359015772973138)	(55, 0.14827020788613784)	(60, 0.16058130565843298)	(65, 0.17306130202073106)	(70, 0.18615621504586563)	(75, 0.19809140708444117)	(80, 0.20968047725894717)	(85, 0.22131413074143863)	(90, 0.23272264776825255)	(95, 0.24388623409061533)	(100, 0.2552394382166506)	(105, 0.2670834287164842)	(110, 0.278691553167847)	(115, 0.289456849606008)	(120, 0.2999564961260482)	(125, 0.31062578120800804)	(130, 0.32136610359397794)	(135, 0.3314086324624329)	(140, 0.3374401435560318)
239M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005984522876883908)	(4, 0.0009776878950334296)	(5, 0.0012968007841408404)	(6, 0.0016344129711675214)	(7, 0.0019877495614255823)	(8, 0.002299462731365285)	(9, 0.00262227548005655)	(10, 0.0036377019428452907)	(15, 0.005754761596726571)	(20, 0.007970422508517563)	(25, 0.009926538270501193)	(30, 0.01195498628734917)	(35, 0.014014143138743135)	(40, 0.016340059866132975)	(45, 0.03239208566366291)	(50, 0.05075541374322647)	(55, 0.056243785449915554)	(60, 0.0601310429216918)	(65, 0.07509013019815125)	(70, 0.13679805327448163)	(75, 0.20142017075203467)	(80, 0.2217279600358927)	(85, 0.23411712484540717)	(90, 0.24845371074688316)	(95, 0.26702978075251826)	(100, 0.288502655819332)	(105, 0.3099747909142289)	(110, 0.33222759638131905)	(115, 0.35523942804203684)	(120, 0.3819703585564446)	(125, 0.4142507084606752)	(130, 0.45388933910527457)	(135, 0.5035518143274306)	(140, 0.5376774691991083)
239M_2 - illumina_universal_adapter	(1, 0.1026017310847523)	(2, 0.10513336000500444)	(3, 0.13040247599783156)	(4, 0.13158920595935272)	(5, 0.14202373495071707)	(6, 0.1533434553475185)	(7, 0.1588876949339238)	(8, 0.16178283505828958)	(9, 0.16361519051719328)	(10, 0.17021611000074727)	(15, 0.1845924693927497)	(20, 0.20221952541512636)	(25, 0.22056083933016596)	(30, 0.23478346955645923)	(35, 0.2471578349276383)	(40, 0.2607185602743801)	(45, 0.2766111221238459)	(50, 0.29535738567033837)	(55, 0.3173402863807863)	(60, 0.34368217665995193)	(65, 0.3758043575669727)	(70, 0.4162114490471386)	(75, 0.4672759860585961)	(80, 0.533401356485069)	(85, 0.6192704726018414)	(90, 0.7340795203975617)	(95, 0.8891724543493057)	(100, 1.101265610042884)	(105, 1.3895716183253342)	(110, 1.778533786530367)	(115, 2.3001133516731054)	(120, 2.9902500097791913)	(125, 3.879497571278049)	(130, 5.002938659722721)	(135, 6.3888866355716285)	(140, 7.339591824645969)
239M_2 - polya	(1, 0.0005068807629880033)	(2, 0.0016057390593926526)	(3, 0.00748204104344883)	(4, 0.026023887347933344)	(5, 0.057887078084084324)	(6, 0.08912499255056397)	(7, 0.12359935918801994)	(8, 0.15905326365030126)	(9, 0.19591773957892694)	(10, 0.314196885678344)	(15, 0.5130008857186354)	(20, 0.7034247038014975)	(25, 0.8888446467901762)	(30, 1.0737941526327677)	(35, 1.2584115960777085)	(40, 1.443614357308815)	(45, 1.6277665434110862)	(50, 1.8112882734402684)	(55, 1.9946860581733918)	(60, 2.1775031499448287)	(65, 2.360056996706875)	(70, 2.5431994911287124)	(75, 2.7264317071454585)	(80, 2.9084074508475273)	(85, 3.087504703793358)	(90, 3.2667736302238795)	(95, 3.447450538219036)	(100, 3.6300389786681913)	(105, 3.8113457877574994)	(110, 3.990758453732854)	(115, 4.169174377536317)	(120, 4.34641707586574)	(125, 4.521230261399427)	(130, 4.693965420797841)	(135, 4.865917134929374)	(140, 4.969904833414239)
239M_2 - polyg	(1, 0.065803852628636)	(2, 0.06737444302198205)	(3, 0.06760568424597292)	(4, 0.06779160219006158)	(5, 0.06794144650320767)	(6, 0.06807464144822642)	(7, 0.06822263583158057)	(8, 0.06839097944264594)	(9, 0.06851584970360101)	(10, 0.0689446634293697)	(15, 0.06943452483827198)	(20, 0.06973513842946011)	(25, 0.06995749999044973)	(30, 0.07024201919244812)	(35, 0.07068896223017768)	(40, 0.07135937678677204)	(45, 0.0722423482764588)	(50, 0.07337765018976442)	(55, 0.074883493040393)	(60, 0.07646999282994962)	(65, 0.07816249359658364)	(70, 0.08018502183809746)	(75, 0.14663468495709517)	(80, 0.2370461186849652)	(85, 0.2610437779318009)	(90, 0.2728289406642511)	(95, 0.2861604597097732)	(100, 0.3056076616544268)	(105, 0.3289256566957085)	(110, 0.3475265157605555)	(115, 0.3658273162131519)	(120, 0.3850467918004193)	(125, 0.40682139041629634)	(130, 0.4318339211469831)	(135, 0.4611286693600226)	(140, 0.48104649344374245)
69M_1 - illumina_universal_adapter	(1, 0.11622472016334684)	(2, 0.11852664089236789)	(3, 0.1395218552097802)	(4, 0.14061659354726855)	(5, 0.1484993460529623)	(6, 0.156469083581596)	(7, 0.16061254089383392)	(8, 0.1626885127218036)	(9, 0.16397101141368675)	(10, 0.16762756475605337)	(15, 0.17305903688358037)	(20, 0.1794740762461066)	(25, 0.1896222582029051)	(30, 0.20186020229618817)	(35, 0.2129874961575427)	(40, 0.2247669655323544)	(45, 0.23841321836289478)	(50, 0.25482962593618425)	(55, 0.2745775598880745)	(60, 0.29882304384314595)	(65, 0.32841959181917313)	(70, 0.3655405564380999)	(75, 0.41185562582318863)	(80, 0.47104065974872655)	(85, 0.5478985044325553)	(90, 0.6493531677006958)	(95, 0.7842707571352487)	(100, 0.9673071883086358)	(105, 1.2132378220808766)	(110, 1.5472989230341878)	(115, 1.9982632273297773)	(120, 2.6039838588894164)	(125, 3.3990072378116003)	(130, 4.437554099115106)	(135, 5.752233854948571)	(140, 6.657589673443585)
69M_1 - polya	(1, 0.005748437064776537)	(2, 0.008533018591818134)	(3, 0.010964356062286454)	(4, 0.014042777239991106)	(5, 0.017360937627262006)	(6, 0.020945357048166215)	(7, 0.02517686017630676)	(8, 0.029260913082634434)	(9, 0.032980053209799326)	(10, 0.042915652256876276)	(15, 0.058608174712431224)	(20, 0.07483257875947519)	(25, 0.08934316569600928)	(30, 0.10302209094980028)	(35, 0.11653065285378447)	(40, 0.1302409775792709)	(45, 0.14413885050055955)	(50, 0.15760964817507225)	(55, 0.17063491280525828)	(60, 0.18297745108466187)	(65, 0.19518420786484209)	(70, 0.2077229928423419)	(75, 0.21919228635486526)	(80, 0.23080860577201637)	(85, 0.24223016360121896)	(90, 0.2536010155268055)	(95, 0.2649143724738144)	(100, 0.2763896064269288)	(105, 0.2887580280546217)	(110, 0.30137594818713775)	(115, 0.31372803360320545)	(120, 0.3259089070350962)	(125, 0.3380861737709138)	(130, 0.34996832790451315)	(135, 0.36114717630385407)	(140, 0.36791800562606397)
69M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007202784216614262)	(4, 0.001117014989704686)	(5, 0.0015042044210838033)	(6, 0.0018754819580226827)	(7, 0.0022616105964391175)	(8, 0.002748514566310391)	(9, 0.0031452511343536506)	(10, 0.004401230002169747)	(15, 0.006886031437957264)	(20, 0.00946312186149816)	(25, 0.011621199064779465)	(30, 0.013953458472533237)	(35, 0.016435926163802857)	(40, 0.019359471568955858)	(45, 0.043417831645410174)	(50, 0.06986021782619717)	(55, 0.07682453578480042)	(60, 0.08179413865637544)	(65, 0.09434374372209466)	(70, 0.1380537177494276)	(75, 0.1870839928017984)	(80, 0.2049895415361016)	(85, 0.21671003082218818)	(90, 0.2297378413554846)	(95, 0.2457394788803653)	(100, 0.2642761994274646)	(105, 0.28394096721108053)	(110, 0.30514515774214124)	(115, 0.3282513500552917)	(120, 0.35541422681633267)	(125, 0.38913280408675155)	(130, 0.4309042850540784)	(135, 0.4835643814661562)	(140, 0.5199349411432815)
69M_2 - illumina_universal_adapter	(1, 0.08942484675413584)	(2, 0.09169812607316447)	(3, 0.11266682056650969)	(4, 0.1137467078025205)	(5, 0.1215530832149011)	(6, 0.12952494232946019)	(7, 0.13364081902466834)	(8, 0.13572421640337679)	(9, 0.13711491597745357)	(10, 0.14222496783728775)	(15, 0.15360324531361294)	(20, 0.16812507665555146)	(25, 0.1835560075665089)	(30, 0.19528455887911184)	(35, 0.20539709819236424)	(40, 0.21673973302514327)	(45, 0.23037559008464936)	(50, 0.24666470250241695)	(55, 0.26617968631970207)	(60, 0.2901132971437449)	(65, 0.31937505886074946)	(70, 0.356090588409339)	(75, 0.40190750941915193)	(80, 0.46033959249977796)	(85, 0.5357456359348793)	(90, 0.6349242618222883)	(95, 0.7671521046206635)	(100, 0.9477192219355182)	(105, 1.1905958327681958)	(110, 1.5198704237152914)	(115, 1.9647107702373148)	(120, 2.5625019744009014)	(125, 3.348464908470222)	(130, 4.3776139927587305)	(135, 5.682407370338586)	(140, 6.58193073696618)
